fos_id,fos_name
2781079927,Dimension stone
2777776507,Lexico
2779795913,Hurrying
115930662,Shelf life
195081551,Ultramafic rock
2777835648,Filter bubble
2778261408,Eurasian Plate
2781343547,Media Practice Model
42796848,Xenolith
2986444337,Near video on demand
551968917,Christianity
2779678110,Fungus
2910477778,DUMP formation
32506930,Hegelianism
55969652,photoperiodism
183282558,Kimberlite
160804572,Silicate perovskite
180903884,Rationalism
3017937595,Dog owners
156571341,Cyberpsychology
175760724,Crop rotation
157670687,Postharvest
2779620486,Tick
46757340,Poaceae
502990516,Agricultural land
192039558,Biofertilizer
2780117336,Farm income
48743137,Organic matter
2988529969,Cold storage
2779113645,Like button
4445939,Islam
179974421,Rock bolt
16397148,Tillage
66511971,Mining geology
17235551,Self
114793014,Geomorphology
2780415144,SAINT
113658590,Muck
2777480983,USArray
22508944,PEST analysis
128954607,Tectonophysics
102523778,Form of the Good
94236395,Stoping
2992637229,Michel foucault
2780505807,Beef cattle
2778852317,Agricultural policy
161176658,Pesticide
2778692574,Faith
128536511,History of religions
2778738651,Novelty
2776763651,Ferropericlase
2911132530,Mine surveyor
2779220025,Peasant
2910697619,Hearing analyzer
3018078696,Dwarf goats
512654426,Public domain
518677369,Social media
2777976947,Eimeria
2777904157,Grazing
2778985329,ISDB
2992202738,Mobile broadcasting
74103781,Ornamental plant
2989465874,Broadcast channels
46328234,Organoleptic
103797069,Domestic sheep reproduction
178165689,Inflorescence
2778761015,Solanaceae
2989393167,Personal learning network
2778691696,Dairy farming
2780727426,Awassi
2993527706,Salt mine
196690852,Social analytics
2776474821,Mushroom
132215390,Abiotic component
510538283,Phosphorus
2781121916,Bow drill
2011517,Broadcast journalism
134215735,Flock
58625266,Lode
48185193,Media
161221295,Plant physiology
2994466296,Radio program
44938399,Petrogenesis
558299567,Mass media
105462344,Nutrient management
16759151,Online presence management
2781354396,Enthusiasm
2987043902,Broadcasting algorithms
2992981300,Salt deposit
2992211155,Grain yield
111021475,Protestantism
2778983918,Wife
2984608069,Wireless broadcast
2780487972,Veterinary parasitology
73440236,Psyche
140441402,Carbonatite
3017754109,Companion animal
175181221,Prospecting
42972112,Veterinary medicine
2780323295,Cervus
520681616,Digital television
35496372,Phloem
186857363,Siege
2777225262,Veterinary pathology
2778524612,Mining law
119452085,Commercial broadcasting
2778802261,Orthodoxy
2776932993,Ethos
58911810,Radio broadcasting
2779944825,Headlinese
164663123,Cosmos
549698073,Structure of the Earth
530479602,Opera
2776482104,Breed
2780556036,South Pole–Aitken basin
2989409935,Crop production
13558536,Cropping
2779880937,Whinstone
26144545,Cut and fill
2991660179,Broadcast packet
2776405206,Revelation
93011207,Geotechnical investigation
2778871292,Social television
2776096895,Seedling
8868529,Taste
36248471,Seeding
152972079,Plate reconstruction
2775997990,Narrowcasting
2781384534,Gospel
58097730,Subduction
2778856526,Cow-calf
2910921642,Mineral industries
2993102984,Mine planning
155785087,Natural law
2781390083,Pinctada fucata
2778052875,Bildung
50682988,Rift
2776184289,Farallon Plate
137607661,Land tenure
2993323123,Rock slope
2776892586,Brand engagement
10180917,Conscience
2993134977,Mineral deposit
2779867292,African Plate
2776760134,Gold mining
2993252152,Rock body
2994537864,Human medicine
2776347870,Passions
67236022,Mantle (geology)
48189365,Hybrid
77928131,Tectonics
2987800000,Crisis mapping
2779546711,Penny press
141646446,Continental crust
2994381574,Broadcast system
108010975,Pruning
2992481583,Broadcast time
109281948,Stratigraphy
2777114023,Withers
2776050585,Scrutiny
2779587293,Straw
71762439,Arable land
194105502,Biblical studies
133479454,Mycelium
2909642594,Shaft (site)
