keyword;clasification
"""bop"" countries";SDG1
absolute poverty;SDG1
bellagio principles;SDG1
child nutritional status;SDG1
counting marginalised children;SDG1
dimensions of inequality;SDG1
diseases of poverty;SDG1
economic marginalisation;SDG1
education poverty;SDG1
educational poverty;SDG1
end poverty;SDG1
eradicate poverty;SDG1
extreme poverty;SDG1
global poverty;SDG1
growth and poverty reduction;SDG1
poor and vulnerable;SDG1
poverty;SDG1
poverty alleviating;SDG1
poverty alleviation;SDG1
poverty child;SDG1
poverty end;SDG1
poverty eradication;SDG1
poverty extreme;SDG1
poverty life;SDG1
poverty living;SDG1
povertly line;SDG1
poverty reduction;SDG1
poor resilience;SDG1
social protection;SDG1
"""win-win"" reform agenda";SDG10
adaptive cycle;SDG10
adverse outcomes;SDG10
advisory committee;SDG10
advocacy;SDG10
advocacy and political process;SDG10
advocacy coalitions;SDG10
anthropometric measurements;SDG10
axiomatization;SDG10
barriers to action;SDG10
cigarette smoke;SDG3
debt reduction;SDG10
debt sustainability;SDG10
delivery of health care/organization and administration;SDG10
deprivation;SDG10
desarrollo;SDG10
developed countries;SDG10
developing country;SDG10
developing country manufacturers network;SDG10
developing region;SDG10
developing world;SDG10
development;SDG10
development assistance;SDG10
development assistance committee;SDG10
development cooperation;SDG10
development coordination;SDG10
development finance;SDG10
development impact;SDG10
development indicators;SDG10
development planning;SDG10
disadvantaged areas;SDG10
disadvantaged populations;SDG10
discrimination;SDG10
disparity;SDG10
disparities;SDG10
displaced populations;SDG10
displacement;SDG10
distribution;SDG10
distribution campaign;SDG10
distributional problems;SDG10
donor aid;SDG10
duty of consultation and no-harm rule;SDG10
ecological debt;SDG10
ecological economics;SDG10
economic disparity;SDG10
economic inequality;SDG10
economic inclusion;SDG10
emerging donor;SDG10
emerging donors;SDG10
emerging economies;SDG10
emerging global structures;SDG10
equal opportunity;SDG10
equality;SDG10
equality measure;SDG10
equality of access to srh services;SDG10
equality of opportunity;SDG10
essential interventions;SDG10
ethnic disparities;SDG10
ethnic divisions;SDG10
ethnic minorities;SDG10
eu-gcc cooperation;SDG10
external debt;SDG10
financial inclusion;SDG10
financial inclusion index;SDG10
financing for development;SDG10
financing for sustainable development;SDG10
foreign aid;SDG10
foreign and development aid;SDG10
foreign assistance;SDG10
fragile states;SDG10
free trade;SDG10
gfatm;SDG10
gini;SDG10
global disparities;SDG10
global fund;SDG10
global inequality;SDG10
government subsidies;SDG10
health care disparities;SDG10
health disparities;SDG10
health outcome inequality;SDG10
heavily indebted;SDG10
human development;SDG10
human development index;SDG10
human development indicators;SDG10
human development report;SDG10
immunization coverage disparities;SDG10
income inequality;SDG10
income inequality growth;SDG10
income levels growth;SDG10
income expenditure growth;SDG10
income without growth;SDG10
inequality;SDG10
inequalities;SDG10
inequity;SDG10
intersectoral cooperation;SDG10
intersectoral coordination;SDG10
intersectoral partnerships;SDG10
intersectorial;SDG10
latin american development;SDG10
ldcs;SDG10
least developed country;SDG10
least developed countries;SDG10
least developed nation;SDG10
least developed nations;SDG10
least-developed countries;SDG10
less developed countries;SDG10
lmic;SDG10
lmics;SDG10
low-and middle income country;SDG10
low & middle income country;SDG10
low middle income country;SDG10
low and middle income country;SDG10
low-income and lower-middle-income countries;SDG10
low-income and middle-income countries;SDG10
low income country;SDG10
low-income countries;SDG10
low-middle income country;SDG10
low-middle income countries;SDG10
low-resource countries;SDG10
low-resource setting;SDG10
major donors;SDG10
middle- and high-income economy;SDG10
middle high income country;SDG10
middle low income country;SDG10
middle level income country;SDG10
middleincome country;SDG10
middle income country;SDG10
middle-income countries;SDG10
mutual aid;SDG10
official aid for health provision;SDG10
official development aid;SDG10
official development assistance;SDG10
output-based aid;SDG10
planetary stewardship;SDG10
planetary well-being;SDG10
political inclusion;SDG10
politics inclusion;SDG10
post-conflict societies;SDG10
reduce inequality;SDG10
reduced inequality;SDG10
reduces inequality;SDG10
reducible inequality;SDG10
reducing inequality;SDG10
regional collaboration;SDG10
regional development;SDG10
regional differences;SDG10
regional disparities;SDG10
resource-limited countries;SDG10
resource-poor countries;SDG10
responsible investments;SDG10
sector-specific aid;SDG10
social inclusion;SDG10
socio-economic development;SDG10
south-south cooperation;SDG10
territorial disparities;SDG10
the 0.7 percent of gni target;SDG10
third world;SDG10
total official support for development;SDG10
transnational collaboration;SDG10
world countries;SDG10
africa surgery;SDG11
african cities;SDG11
budgeting;SDG11
building codes;SDG11
building performance simulation;SDG11
building-rooftop greenhouse symbiosis;SDG11
building;SDG11
buildings;SDG11
cis-7 countries;SDG11
cities;SDG11
city;SDG11
cities and sustainable development;SDG11
citizen participation;SDG11
citizenship;SDG11
citizen-state relations;SDG11
city branding;SDG11
city pollution;SDG11
civil and environmental engineering;SDG11
civil society;SDG11
civil society organization;SDG11
climate policy analysis models;SDG11
collective household model;SDG11
communities;SDG11
community;SDG11
community action;SDG11
community consultations;SDG11
community development;SDG11
community impact;SDG11
community management;SDG11
community mobilization;SDG11
community networks;SDG11
community participation;SDG11
community platforms;SDG11
community resilience;SDG11
community solidarity;SDG11
community survey;SDG11
community voices;SDG11
community volunteers;SDG11
community water;SDG11
community based;SDG11
community-based;SDG11
community-based approaches;SDG11
community-based disability workers;SDG11
community-based midwives;SDG11
community-based organizations;SDG11
community-based tourism;SDG11
community-focused strategies;SDG11
community-led;SDG11
consensus building;SDG11
conservation science and society;SDG11
convention for the safeguarding of intangible cultural heritage;SDG11
corporate citizenship;SDG11
decentralisation;SDG11
demographic and health surveys;SDG11
demographic surveillance;SDG11
demographic transition;SDG11
demography;SDG11
densities;SDG11
developing communities;SDG11
