sdg,doi,keys
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Organised Crime', 'link': 'https://sdg-pathfinder.org/topic/organised-crime'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Internally Displaced Persons', 'link': 'https://sdg-pathfinder.org/topic/internally-displaced-persons'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Organised Crime', 'link': 'https://sdg-pathfinder.org/topic/organised-crime'}, {'key': 'Illicit Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-flows'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}, {'key': 'Murder Rate', 'link': 'https://sdg-pathfinder.org/topic/murder-rate'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Trafficking Victims', 'link': 'https://sdg-pathfinder.org/topic/trafficking-victims'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Illicit Financial Flows', 'link': 'https://sdg-pathfinder.org/topic/illicit-financial-flows'}, {'key': 'Violence Reduction', 'link': 'https://sdg-pathfinder.org/topic/violence-reduction'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Child Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-sexual-abuse'}, {'key': 'Child Victims', 'link': 'https://sdg-pathfinder.org/topic/child-victims'}, {'key': 'Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/sexual-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Trafficking Victims', 'link': 'https://sdg-pathfinder.org/topic/trafficking-victims'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}, {'key': 'Murder Victims', 'link': 'https://sdg-pathfinder.org/topic/murder-victims'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Crime Prevention', 'link': 'https://sdg-pathfinder.org/topic/crime-prevention'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Birth Registration', 'link': 'https://sdg-pathfinder.org/topic/birth-registration'}, {'key': 'Civil Registration', 'link': 'https://sdg-pathfinder.org/topic/civil-registration'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Trafficking Victims', 'link': 'https://sdg-pathfinder.org/topic/trafficking-victims'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Anti-corruption Measures', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-measures'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Access To Information', 'link': 'https://sdg-pathfinder.org/topic/access-to-information'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/sexual-abuse'}, {'key': 'Child Sexual Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-sexual-abuse'}, {'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}, {'key': 'Child Abuse', 'link': 'https://sdg-pathfinder.org/topic/child-abuse'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Arms Trafficking', 'link': 'https://sdg-pathfinder.org/topic/arms-trafficking'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Enforced Disappearance', 'link': 'https://sdg-pathfinder.org/topic/enforced-disappearance'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Accountable Public Institutions', 'link': 'https://sdg-pathfinder.org/topic/accountable-public-institutions'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Anti-corruption Laws', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-laws'}, {'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Violent Behaviour', 'link': 'https://sdg-pathfinder.org/topic/violent-behaviour'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Civil Society Engagement', 'link': 'https://sdg-pathfinder.org/topic/civil-society-engagement'}, {'key': 'Global Governance', 'link': 'https://sdg-pathfinder.org/topic/global-governance'}, {'key': 'Civil Society', 'link': 'https://sdg-pathfinder.org/topic/civil-society'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'International Humanitarian Law', 'link': 'https://sdg-pathfinder.org/topic/international-humanitarian-law'}, {'key': 'International Humanitarian System', 'link': 'https://sdg-pathfinder.org/topic/international-humanitarian-system'}, {'key': 'Humanitarian Assistance', 'link': 'https://sdg-pathfinder.org/topic/humanitarian-assistance'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Citizen Engagement', 'link': 'https://sdg-pathfinder.org/topic/citizen-engagement'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Anti-corruption Agencies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-agencies'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Peaceful Societies', 'link': 'https://sdg-pathfinder.org/topic/peaceful-societies'}, {'key': 'Freedom Of Information', 'link': 'https://sdg-pathfinder.org/topic/freedom-of-information'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}]"
