sdg,fos_id,fos_name
SDG_1,198428699,Environmental degradation
SDG_1,170659323,Environmental politics
SDG_1,46578552,Global health
SDG_1,2780196416,Health human resources
SDG_1,47344431,Health policy
SDG_1,2780650499,Health policy and management
SDG_1,2780877353,Health services research
SDG_1,2780774518,Health systems strengthening
SDG_1,193395930,International health
SDG_1,2781201427,Out-of-school learning
SDG_1,2778149918,Population health
SDG_1,129963666,Small area estimation
SDG_2,2910099511,25-Hydroxyvitamin D 2
SDG_2,2908895846,Acute respiratory disease
SDG_2,2909158028,Anaplasma ovis
SDG_2,47806933,Animal welfare science
SDG_2,2910592767,Antibody antigen
SDG_2,2779491563,Arabidopsis
SDG_2,2775988993,Arabidopsis thaliana
SDG_2,18419278,Astrobiology Science and Technology for Exploring Planets
SDG_2,3480121,Astronaut training
SDG_2,2908684217,Babesia ovis
SDG_2,2777626052,Bachelor
SDG_2,2776423422,Barcode reader
SDG_2,138256199,Baron Tornado Index
SDG_2,65607591,Big Picture Science
SDG_2,2779910751,Bologna Process
SDG_2,2777970171,Bologna declaration
SDG_2,53007507,Browning
SDG_2,74359761,Business activity monitoring
SDG_2,2908707527,Business function
SDG_2,2776574205,Business information
SDG_2,2910521719,C4 photosynthesis
SDG_2,2776928777,Cadaverine
SDG_2,2776941976,Calcifediol
SDG_2,2779910956,Campylobacter
SDG_2,2777403496,Campylobacter coli
SDG_2,2908614360,Campylobacter sp
SDG_2,2909333666,Campylobacteraceae
SDG_2,2909520665,Carbon-Oxygen Lyases
SDG_2,2780687331,Carnosine
SDG_2,58808276,Catechol oxidase
SDG_2,2909745607,Cephalosporin Resistance
SDG_2,115220002,Chromosomal crossover
SDG_2,148257392,Clinical nutrition
SDG_2,2778020220,Clinoptilolite
SDG_2,106165879,Cognitively Guided Instruction
SDG_2,2780114722,Cold chain
SDG_2,2910394173,Cold foods
SDG_2,2910354950,Cold sensitive
SDG_2,2780118905,Cold sensitivity
SDG_2,138020889,Collaborative learning
SDG_2,2779814899,Common sense
SDG_2,100521375,Competence (human resources)
SDG_2,37662734,Competence-based management
SDG_2,97483426,Compound annual growth rate
SDG_2,25260931,Constructivist teaching methods
SDG_2,2909271431,Contaminated food
SDG_2,2908574822,Contig Mapping
SDG_2,51672120,Cooperative learning
SDG_2,164065428,Core competency
SDG_2,94919774,Crore
SDG_2,2778080818,Cross-resistance
SDG_2,38749836,Cultural group selection
SDG_2,2781415353,Cut-point
SDG_2,2909072068,Cytochrome C Oxidase I
SDG_2,2909807485,Cytochrome C Oxidase Subunit 1
SDG_2,2775937386,DMC1
SDG_2,2777974810,Data feed
SDG_2,78161392,Database testing
SDG_2,2910479360,Dietary salt
SDG_2,138399698,Difference list
SDG_2,120562766,Dynamic array
SDG_2,185671874,E number
SDG_2,2776744078,Early Earth
SDG_2,2776709667,Economic welfare
SDG_2,50919411,Ectopic recombination
SDG_2,65257409,Electronic business
SDG_2,2781418482,Entry Level
SDG_2,2777621572,Ergocalciferol
SDG_2,173837035,Evolution of photosynthesis
SDG_2,2910092765,Excessive cold
SDG_2,37228920,Experiential learning
SDG_2,170959889,Extra-vehicular activity
SDG_2,2909553954,Extraterrestrial Environment
SDG_2,98536072,Extraterrestrial life
SDG_2,135300049,FLP-FRT recombination
SDG_2,21249469,Family-based QTL mapping
SDG_2,2777220787,Five freedoms
SDG_2,2780471819,Flaveria
SDG_2,2779634897,Fluorotelomer
SDG_2,549605437,Food security
SDG_2,42525527,Formative assessment
SDG_2,2775840374,Functional capacity evaluation
SDG_2,2909076198,Fusarium toxins
SDG_2,27254500,Gains from trade
SDG_2,122735190,Gene mapping
SDG_2,2908952963,General diet
SDG_2,101434241,Genetic recombination
SDG_2,130947863,Gene–environment interaction
SDG_2,2910985744,Genus Campylobacter
SDG_2,2776968180,Gmelinite
SDG_2,190638079,Green manure
SDG_2,2776020993,Group work
SDG_2,149172842,Haploidisation
SDG_2,2780017871,Hard infrastructure
SDG_2,2775834976,Heulandite
SDG_2,120912362,Higher education
SDG_2,2910220031,Histamine Production
SDG_2,192233252,Histidine decarboxylase
SDG_2,102744134,Homologous recombination
SDG_2,107211472,Human decontamination
SDG_2,2779160288,Human fat
SDG_2,2910444920,Immobilized Antibodies
SDG_2,2909153497,Infant Nutritional Physiological Phenomena
SDG_2,44283249,Interkinesis
SDG_2,540751848,Internship
SDG_2,2910258602,Isospora suis
SDG_2,2910321295,L-Carnosine
SDG_2,175965649,Label
SDG_2,2779704485,Lachnospiraceae
SDG_2,79850504,Law of one price
SDG_2,2777958824,Lead sulfide
SDG_2,2778365744,Learning environment
SDG_2,2778172956,Life on Mars
SDG_2,134864226,Limit price
SDG_2,4733338,Lipid metabolism
SDG_2,60635243,Loop-mediated isothermal amplification
SDG_2,195454712,Lot quality assurance sampling
SDG_2,78945660,Malolactic fermentation
SDG_2,2781445593,Manihot
SDG_2,2777481183,Market access
SDG_2,2778600265,Martian
SDG_2,148196450,Meiosis
SDG_2,2910992960,Meiosis II
SDG_2,2910222286,Meiotic Prophase I
SDG_2,2777926330,Methoxetamine
SDG_2,2779091883,MicroWorlds
SDG_2,2910342552,Microbial Viability
SDG_2,2776482837,Multi-label classification
SDG_2,2780051701,Multilateral trade negotiations
SDG_2,2781446643,Multiple sulfatase deficiency
SDG_2,2780015948,Mycobacterium avium subspecies paratuberculosis
SDG_2,2777103877,Natural stress
SDG_2,2778599437,Net Promoter
SDG_2,11804174,Network theory
SDG_2,2777264270,Network transparency
SDG_2,2780170040,Neuropeptide S
SDG_2,2776903312,Neuropeptide S receptor
SDG_2,175895763,North American Model of Wildlife Conservation
SDG_2,2779287493,Nuclear transparency
SDG_2,39257715,Nuisance wildlife management
SDG_2,2909270706,Nutrition Interventions
SDG_2,63412515,Nutrition facts label
SDG_2,2909934379,Nutrition science
SDG_2,2776319399,Nutrition transition
SDG_2,2779459076,Ochratoxin
SDG_2,2776008721,Ochratoxin A
SDG_2,2910734704,Ochratoxins
SDG_2,2780030891,Oenococcus oeni
SDG_2,2776665880,Ornithodoros
SDG_2,2777963300,Ovis
SDG_2,60544836,Oxygen transmission rate
SDG_2,2911159031,P-aminohippuric acid
SDG_2,2909039982,Painful Bladder Syndrome
SDG_2,64417066,Panspermia
SDG_2,2777849792,Paratuberculosis
SDG_2,2910859984,Perfluorodecanoic acid
SDG_2,2776609134,Perfluorononanoic acid
SDG_2,2781314072,Perfluorooctane
SDG_2,2909612347,Perfluorooctane sulfonic acid
SDG_2,2779168029,Perfluorooctanesulfonic acid
SDG_2,168402607,Personal robot
SDG_2,2778793514,Pharmaceutical Benefits Scheme
SDG_2,2779652696,Phillipsite
SDG_2,117534273,Photorespiration
SDG_2,183688256,Photosynthesis
SDG_2,2779316952,Phototrophic biofilms
SDG_2,2908972231,Physical Barrier
SDG_2,2910200824,Physical Chromosome Mapping
SDG_2,2910994361,Physical Maps
SDG_2,2909856885,Physical mapping
SDG_2,2776809771,Phytoene
SDG_2,2780535588,Planetary Fourier Spectrometer
SDG_2,131923401,Planetary protection
SDG_2,2910940979,Plant Preparations
SDG_2,2910538944,Poly(butylene succinate)
SDG_2,2777271545,Polybutylene succinate
SDG_2,2776338311,Polyphenol oxidase
SDG_2,2776773308,Positive behavior support
SDG_2,2781281389,Potamochoerus
SDG_2,2778438103,Prenatal nutrition
SDG_2,2781375701,Price analysis
SDG_2,2778184291,Price support
SDG_2,2776294106,Primer binding site
SDG_2,111280770,Producer price index
SDG_2,2909571003,Protective Agents
SDG_2,2778274352,RNA polymerase IV
SDG_2,2777714445,Radiation hybrid mapping
SDG_2,148846489,Refrigeration plant
SDG_2,70295763,Reservation price
SDG_2,2780608908,Reverse Transcription Loop-mediated Isothermal Amplification
SDG_2,147716585,Robonaut
SDG_2,26355699,Robotic spacecraft
SDG_2,2779218938,Rocket
SDG_2,2777647554,Roquefortine C
SDG_2,2777250853,Rupee
SDG_2,2776317494,SALSA
SDG_2,2777469154,STCW Convention
SDG_2,169490005,Salting out
SDG_2,9111530,Satellite tornado
SDG_2,2777584449,Sense and respond
SDG_2,101512455,Sense data
SDG_2,2776947765,Sense of direction
SDG_2,206625514,Sequence-tagged site
SDG_2,45051096,Single market
SDG_2,2777330291,Small-scale agriculture
