fos_id,fos_name
2987034934,Earth crust
2776698055,Crust
79572550,Partial melting
2994012208,Upper crust
2780356177,Baltic Shield
56859440,Bouguer anomaly
2778471503,Basin and Range Province
2779422593,Soil crust
2779980370,Magma ocean
37523158,Hadean
3017803470,Crust formation
2780556036,South Pole–Aitken basin
549698073,Structure of the Earth
77928131,Tectonics
33556824,Hydrogeology
179158327,Palaeogeography
159719176,Engineering geology
2776797426,Biogeosciences
109281948,Stratigraphy
6363049,Volcanism
58097730,Subduction
119477230,Plate tectonics
2778261408,Eurasian Plate
2777994876,Pacific Plate
2777992645,North American Plate
2779867292,African Plate
2781207809,South American Plate
2776184289,Farallon Plate
180362636,Thrust tectonics
152972079,Plate reconstruction
7251660,Structural geology
50682988,Rift
201867031,Continental margin
141646446,Continental crust
136752280,Geodynamics
23295444,Shear zone
110041135,Thrust fault
97490223,Focal mechanism
166839181,Graben
44938399,Petrogenesis
150999391,Terrane
92596616,Lineament
128954607,Tectonophysics
23923706,Ophiolite
199007388,Diapir
16670881,Neotectonics
67236022,Mantle (geology)
16942324,Lithosphere
51151373,Mid-ocean ridge
84372278,Peridotite
11872896,Fractional crystallization (geology)
44938399,Petrogenesis
23923706,Ophiolite
122959257,Seismic tomography
42796848,Xenolith
167919410,Metasomatism
127723449,Core–mantle boundary
183282558,Kimberlite
2994012208,Upper crust
140441402,Carbonatite
23148476,Seismic anisotropy
93746451,Mineral redox buffer
2780356177,Baltic Shield
22512106,Shear wave splitting
195081551,Ultramafic rock
2993808335,Seismic velocity
2780942940,Stishovite
2778882853,Phlogopite
21441200,Mineral physics
83948199,Incompatible element
2779980370,Magma ocean
2993054622,Core formation
2781390083,Pinctada fucata
37523158,Hadean
140230471,Planetary core
160804572,Silicate perovskite
2776763651,Ferropericlase
154802760,Giant impact hypothesis
2777480983,USArray
114793014,Geomorphology
16674752,Mining engineering
97842125,Rock mechanics
5166401,Tailings
41242791,Rock mass classification
2779096232,Hydraulic fracturing
175181221,Prospecting
2777201227,Overburden
2984157484,Mining industry
7028197,Gangue
2776760134,Gold mining
94236395,Stoping
184977646,Open-pit mining
179974421,Rock bolt
93011207,Geotechnical investigation
113658590,Muck
2993323123,Rock slope
207469975,Shaft mining
58625266,Lode
186096623,Ground pressure
2992974802,Geological exploration
2779742380,Gabion
2993134977,Mineral deposit
102044607,Adit
2993252152,Rock body
2991922516,Rock pressure
2911210907,Support pressure
2994289516,Geological investigation
2993102984,Mine planning
2992547679,Land mine
2993437602,Rock structure
2780043312,Hydraulic fill
2993527706,Salt mine
2992990004,Solid rock
2992406196,Waste dump
26144545,Cut and fill
2909623323,Waste Dumps
2910921642,Mineral industries
127200247,Hydraulic mining
2992067306,Mineral potential
2778524612,Mining law
66511971,Mining geology
2781079927,Dimension stone
2778375701,Ground stone
2993492720,Gold production
2778839144,Medical geology
2992981300,Salt deposit
2909086881,Stone quarry
2779795913,Hurrying
2776629827,Panasqueira
2992407798,Iron mining
2992330363,Urban geology
2778143190,Minnesota Geological Survey
46517748,Drift mining
2777425756,Gold panning
193605714,Steam shovel
2779070535,Street gutter
46580973,Blackdamp
2781121916,Bow drill
2910477778,DUMP formation
2779880937,Whinstone
2910697619,Hearing analyzer
2911132530,Mine surveyor
8824402,Landslides vs. Rock strength
2910164855,Logging car
2909642594,Shaft (site)
2910514300,Root stones
42972112,Veterinary medicine
2776977481,Dairy cattle
2776482104,Breed
194775826,Herd
134215735,Flock
523966790,Animal welfare
2779620486,Tick
2780505807,Beef cattle
2779885849,Milking
173419221,Crossbreed
