fos_id,fos_name,from_sdg,to_sdg
53421856,Soil biology,SDG_2,SDG_15
160934017,Soil type,SDG_2,SDG_15
29510844,Soil chemistry,SDG_2,SDG_15
7959160,Soil biodiversity,SDG_2,SDG_15
198072978,Soil pH,SDG_2,SDG_15
152494472,Soil classification,SDG_2,SDG_15
120991184,Soil structure,SDG_2,SDG_15
14171219,Agricultural soil science,SDG_2,SDG_15
156634047,Soil horizon,SDG_2,SDG_15
159390177,Soil science,SDG_2,SDG_15
50516716,Soil test,SDG_2,SDG_15
100474770,Soil physics,SDG_2,SDG_15
53706860,Soil morphology,SDG_2,SDG_15
58395597,Red soil,SDG_2,SDG_15
5589519,Soil series,SDG_2,SDG_15
175963888,Soil texture,SDG_2,SDG_15
2909722689,Soil Pollutants,SDG_2,SDG_15
172365310,Soil microbiology,SDG_2,SDG_15
3742959,Soil survey,SDG_2,SDG_15
65580899,Soil contamination,SDG_2,SDG_15
63696750,USDA soil taxonomy,SDG_2,SDG_15
182745123,Soil gradation,SDG_2,SDG_15
71864017,Soil map,SDG_2,SDG_15
174200844,Unified Soil Classification System,SDG_2,SDG_15
160212601,World Reference Base for Soil Resources,SDG_2,SDG_15
152100882,Soil color,SDG_2,SDG_15
104471815,Digital soil mapping,SDG_2,SDG_15
39464130,Soil carbon,SDG_2,SDG_15
114426456,Soil thermal properties,SDG_2,SDG_15
125596622,Soil resilience,SDG_2,SDG_15
55312793,National Cooperative Soil Survey,SDG_2,SDG_15
205726622,Soil mechanics,SDG_2,SDG_15
2910302653,SOIL EXPOSURE,SDG_2,SDG_15
53145804,Soil food web,SDG_2,SDG_15
139669111,Understory,SDG_2,SDG_15
162902727,Soil conditioner,SDG_2,SDG_15
70957220,Soil compaction,SDG_2,SDG_15
