fos_id,fos_name,from_sdg
38774213,Soil fertility,SDG_2
156086215,Soil ecology,SDG_2
126408429,Soil health,SDG_2
182124840,Soil organic matter,SDG_2
33411773,Bulk soil,SDG_2
172817999,Soil functions,SDG_2
141185391,Soil retrogression and degradation,SDG_2
20529654,Topsoil,SDG_2
42731165,Environmental soil science,SDG_2
59804570,Soil governance,SDG_2
116370137,No-till farming,SDG_2
126589399,Umbrella species,SDG_2
2780528068,Plant nutrition,SDG_2
15147509,Conservation reliant species,SDG_2
31568149,Near-threatened species,SDG_2
2776562576,Plant strategies,SDG_2
24518262,Threatened species,SDG_2
23519681,Montane ecology,SDG_2
53002841,Plant community,SDG_2
197320908,Pioneer species,SDG_2
33283694,Deciduous,SDG_2
2780189059,Soil stabilization,SDG_2
133382796,Secondary forest,SDG_2
2619416,Rainforest,SDG_2
201401522,Plant cover,SDG_2
2776107028,Forest dynamics,SDG_2
2778625682,High forest,SDG_2
107394435,Quadrat,SDG_2
2780816530,Forest protection,SDG_2
28631016,Forest management,SDG_2
108216600,Tropical and subtropical dry broadleaf forests,SDG_2
192392207,Clearcutting,SDG_2
2776500793,Beech,SDG_2
2779004245,Tilth,SDG_2
97137747,Forestry,SDG_2
2775966360,Silviculture,SDG_2
34070608,Cover crop,SDG_2
2780086105,Forest product,SDG_2
64229544,Habitat destruction,SDG_2
2777707638,Vascular plant,SDG_2
91354502,Basal area,SDG_2
2776285232,Tropical forest,SDG_2
2776554196,Evergreen forest,SDG_2
147103442,Forest inventory,SDG_2
87621631,Taiga,SDG_2
119249163,Felling,SDG_2
155987862,Selection cutting,SDG_2
2775841215,Sustainable forest management,SDG_2
2777106113,Crop simulation model,SDG_2
155015343,Plant breeding,SDG_2
2776492830,Dipterocarpaceae,SDG_2
89295123,Forest pathology,SDG_2
63651461,Tropical agriculture,SDG_2
121850381,Certified wood,SDG_2
198979508,Forest fragmentation,SDG_2
154702282,Temperate deciduous forest,SDG_2
154575652,Reforestation,SDG_2
150436541,Forb,SDG_2
152491559,Macroecology,SDG_2
2775999090,Joint Forest Management,SDG_2
153427425,Biodiversity hotspot,SDG_2
2776596991,Cultural methods,SDG_2
123917164,Bumper crop,SDG_2
2777399377,DSSAT,SDG_2
32120771,Ecosystem engineer,SDG_2
93944068,Phytogeography,SDG_2
62158283,Species translocation,SDG_2
555313981,Tropical rainforest,SDG_2
2779128174,Scots pine,SDG_2
2780946806,Plant functional type,SDG_2
2777380357,Rainfed agriculture,SDG_2
118694661,Climax community,SDG_2
60989497,Red List Index,SDG_2
25382069,Seral community,SDG_2
2781208722,Intercropping,SDG_2
2777472530,Catch crop,SDG_2
54625482,Community forestry,SDG_2
2780696901,Conventional tillage,SDG_2
59898753,Shrubland,SDG_2
39571515,Undergrowth,SDG_2
126914827,Flagship species,SDG_2
173795300,Salvage logging,SDG_2
2776978901,Tree breeding,SDG_2
2776278397,Revegetation,SDG_2
2777387638,Forestry law,SDG_2
532801124,Crop protection,SDG_2
139518226,Sclerophyll,SDG_2
2778361644,Yield gap,SDG_2
2776801807,Pinus radiata,SDG_2
2777132354,Shelterwood cutting,SDG_2
2776054349,Vegetation classification,SDG_2
