fos_id,fos_name,source
943373,Atomic broadcast,30_8_NABS_FOS
1670747,Agribusiness,30_8_NABS_FOS
2011517,Broadcast journalism,30_8_NABS_FOS
2011517,Broadcast journalism,30_8_NABS_FOS
2437467,Perfection,30_8_NABS_FOS
3987366,Livelihood,30_8_NABS_FOS
4445939,Islam,30_8_NABS_FOS
5166401,Tailings,30_8_NABS_FOS
6363049,Volcanism,30_8_NABS_FOS
6557445,Agronomy,30_8_NABS_FOS
7028197,Gangue,30_8_NABS_FOS
7251660,Structural geology,30_8_NABS_FOS
8824402,Landslides vs. Rock strength,30_8_NABS_FOS
8868529,Taste,30_8_NABS_FOS
9299846,Secularization,30_8_NABS_FOS
9819579,Tuner,30_8_NABS_FOS
9992130,Pessimism,30_8_NABS_FOS
10180917,Conscience,30_8_NABS_FOS
10869588,Church history,30_8_NABS_FOS
11872896,Fractional crystallization (geology),30_8_NABS_FOS
13558536,Cropping,30_8_NABS_FOS
16189245,News bureau,30_8_NABS_FOS
16397148,Tillage,30_8_NABS_FOS
16670881,Neotectonics,30_8_NABS_FOS
16674752,Mining engineering,30_8_NABS_FOS
16759151,Online presence management,30_8_NABS_FOS
16942324,Lithosphere,30_8_NABS_FOS
17235551,Self,30_8_NABS_FOS
17616946,Pastoralism,30_8_NABS_FOS
18296254,Skepticism,30_8_NABS_FOS
21410773,Shoot,30_8_NABS_FOS
21410773,Shoot,30_8_NABS_FOS
21441200,Mineral physics,30_8_NABS_FOS
22029948,Dice,30_8_NABS_FOS
22508944,PEST analysis,30_8_NABS_FOS
22512106,Shear wave splitting,30_8_NABS_FOS
23148476,Seismic anisotropy,30_8_NABS_FOS
23295444,Shear zone,30_8_NABS_FOS
23923706,Ophiolite,30_8_NABS_FOS
23923706,Ophiolite,30_8_NABS_FOS
24461792,Perennial plant,30_8_NABS_FOS
26144545,Cut and fill,30_8_NABS_FOS
27206212,Theology,30_8_NABS_FOS
27362006,Gestalt psychology,30_8_NABS_FOS
32198211,Greenhouse,30_8_NABS_FOS
32198211,Greenhouse,30_8_NABS_FOS
32506930,Hegelianism,30_8_NABS_FOS
32772713,Charisma,30_8_NABS_FOS
33556824,Hydrogeology,30_8_NABS_FOS
35496372,Phloem,30_8_NABS_FOS
36248471,Seeding,30_8_NABS_FOS
37523158,Hadean,30_8_NABS_FOS
37523158,Hadean,30_8_NABS_FOS
37923429,Intensive farming,30_8_NABS_FOS
38304854,Manure,30_8_NABS_FOS
39511330,Logo,30_8_NABS_FOS
41062264,Digital broadcasting,30_8_NABS_FOS
41242791,Rock mass classification,30_8_NABS_FOS
42211076,Reliable Sources,30_8_NABS_FOS
42796848,Xenolith,30_8_NABS_FOS
42972112,Veterinary medicine,30_8_NABS_FOS
43143990,Conidium,30_8_NABS_FOS
44938399,Petrogenesis,30_8_NABS_FOS
44938399,Petrogenesis,30_8_NABS_FOS
45292766,Bark,30_8_NABS_FOS
46328234,Organoleptic,30_8_NABS_FOS
46517748,Drift mining,30_8_NABS_FOS
46580973,Blackdamp,30_8_NABS_FOS
46610780,Hinduism,30_8_NABS_FOS
46757340,Poaceae,30_8_NABS_FOS
47136581,Agricultural machinery,30_8_NABS_FOS
48185193,Media,30_8_NABS_FOS
48189365,Hybrid,30_8_NABS_FOS
48743137,Organic matter,30_8_NABS_FOS
49799701,Xylem,30_8_NABS_FOS
50379869,Hermeneutics,30_8_NABS_FOS
50660011,Tropics,30_8_NABS_FOS
50682988,Rift,30_8_NABS_FOS
51151373,Mid-ocean ridge,30_8_NABS_FOS
51417038,Phenology,30_8_NABS_FOS
51832835,Environmental management system,30_8_NABS_FOS
52991690,Culling,30_8_NABS_FOS
53007507,Browning,30_8_NABS_FOS
53657456,Peat,30_8_NABS_FOS
54924851,Sustainable agriculture,30_8_NABS_FOS
55322685,Media conglomerate,30_8_NABS_FOS
55322685,Media conglomerate,30_8_NABS_FOS
55969652,photoperiodism,30_8_NABS_FOS
56859440,Bouguer anomaly,30_8_NABS_FOS
57664001,Agroecosystem,30_8_NABS_FOS
58097730,Subduction,30_8_NABS_FOS
58348228,Auteur theory,30_8_NABS_FOS
58625266,Lode,30_8_NABS_FOS
58911810,Radio broadcasting,30_8_NABS_FOS
60136833,Social media optimization,30_8_NABS_FOS
61783943,Luck,30_8_NABS_FOS
61968832,Animal husbandry,30_8_NABS_FOS
64476972,Sustainable Agriculture Innovation Network,30_8_NABS_FOS
66511971,Mining geology,30_8_NABS_FOS
66914385,Poultry farming,30_8_NABS_FOS
67236022,Mantle (geology),30_8_NABS_FOS
68163228,Radio Data System,30_8_NABS_FOS
71762439,Arable land,30_8_NABS_FOS
73440236,Psyche,30_8_NABS_FOS
74103781,Ornamental plant,30_8_NABS_FOS
74216064,Social computing,30_8_NABS_FOS
74256435,Flood myth,30_8_NABS_FOS
75296557,Husk,30_8_NABS_FOS
75639521,Field experiment,30_8_NABS_FOS
75639521,Field experiment,30_8_NABS_FOS
75699723,Buddhism,30_8_NABS_FOS
76960060,Umwelt,30_8_NABS_FOS
77757571,Multimedia Broadcast Multicast Service,30_8_NABS_FOS
77928131,Tectonics,30_8_NABS_FOS
79572550,Partial melting,30_8_NABS_FOS
81461190,Temperate climate,30_8_NABS_FOS
81959379,Broadcasting,30_8_NABS_FOS
83529365,Broadcast communication network,30_8_NABS_FOS
83559648,Croatian,30_8_NABS_FOS
83740816,Gibberellin,30_8_NABS_FOS
83948199,Incompatible element,30_8_NABS_FOS
84372278,Peridotite,30_8_NABS_FOS
85582077,Paddy field,30_8_NABS_FOS
85675897,Soil management,30_8_NABS_FOS
88862950,Irrigation,30_8_NABS_FOS
88862950,Irrigation,30_8_NABS_FOS
88972607,Human fertilization,30_8_NABS_FOS
91285054,Broadcast television systems,30_8_NABS_FOS
91304198,Hebrew,30_8_NABS_FOS
92047909,Hyperbolic function,30_8_NABS_FOS
92596616,Lineament,30_8_NABS_FOS
93011207,Geotechnical investigation,30_8_NABS_FOS
93746451,Mineral redox buffer,30_8_NABS_FOS
94236395,Stoping,30_8_NABS_FOS
97490223,Focal mechanism,30_8_NABS_FOS
97842125,Rock mechanics,30_8_NABS_FOS
100701293,Germination,30_8_NABS_FOS
101000010,Canopy,30_8_NABS_FOS
101293273,User-generated content,30_8_NABS_FOS
102044607,Adit,30_8_NABS_FOS
102523778,Form of the Good,30_8_NABS_FOS
103797069,Domestic sheep reproduction,30_8_NABS_FOS
104727253,Biological pest control,30_8_NABS_FOS
105462344,Nutrient management,30_8_NABS_FOS
108010975,Pruning,30_8_NABS_FOS
109162521,Soil conservation,30_8_NABS_FOS
109281948,Stratigraphy,30_8_NABS_FOS
110041135,Thrust fault,30_8_NABS_FOS
110157686,Broadcasting (networking),30_8_NABS_FOS
111021475,Protestantism,30_8_NABS_FOS
112077630,Irrigation management,30_8_NABS_FOS
112939947,Green Revolution,30_8_NABS_FOS
113052830,Land degradation,30_8_NABS_FOS
113522999,Fall of man,30_8_NABS_FOS
113658590,Muck,30_8_NABS_FOS
114793014,Geomorphology,30_8_NABS_FOS
115930662,Shelf life,30_8_NABS_FOS
118518473,Agriculture,30_8_NABS_FOS
118817206,Organic farming,30_8_NABS_FOS
119452085,Commercial broadcasting,30_8_NABS_FOS
119477230,Plate tectonics,30_8_NABS_FOS
120217122,Precision agriculture,30_8_NABS_FOS
122690726,"Land use, land-use change and forestry",30_8_NABS_FOS
122959257,Seismic tomography,30_8_NABS_FOS
123963621,Integrated pest management,30_8_NABS_FOS
127200247,Hydraulic mining,30_8_NABS_FOS
127723449,Core–mantle boundary,30_8_NABS_FOS
128361363,Symbol,30_8_NABS_FOS
128383755,Agricultural productivity,30_8_NABS_FOS
128536511,History of religions,30_8_NABS_FOS
128758860,Woody plant,30_8_NABS_FOS
128954607,Tectonophysics,30_8_NABS_FOS
129225989,Cash crop,30_8_NABS_FOS
129454956,Field research,30_8_NABS_FOS
130979935,Ansatz,30_8_NABS_FOS
132215390,Abiotic component,30_8_NABS_FOS
133479454,Mycelium,30_8_NABS_FOS
133979268,Vision,30_8_NABS_FOS
134215735,Flock,30_8_NABS_FOS
136752280,Geodynamics,30_8_NABS_FOS
137580998,Crop,30_8_NABS_FOS
137580998,Crop,30_8_NABS_FOS
137607661,Land tenure,30_8_NABS_FOS
137660486,Growing season,30_8_NABS_FOS
137776501,Point of delivery,30_8_NABS_FOS
139496715,Deforestation,30_8_NABS_FOS
140230471,Planetary core,30_8_NABS_FOS
140441402,Carbonatite,30_8_NABS_FOS
141005173,Shifting cultivation,30_8_NABS_FOS
141282968,Plant ecology,30_8_NABS_FOS
141646446,Continental crust,30_8_NABS_FOS
142796444,Nutrient,30_8_NABS_FOS
143128703,Middle Ages,30_8_NABS_FOS
144027150,Horticulture,30_8_NABS_FOS
150152722,Judaism,30_8_NABS_FOS
150668497,Dry weight,30_8_NABS_FOS
150668497,Dry weight,30_8_NABS_FOS
150772632,Arid,30_8_NABS_FOS
150999391,Terrane,30_8_NABS_FOS
152212766,The Republic,30_8_NABS_FOS
152972079,Plate reconstruction,30_8_NABS_FOS
154802760,Giant impact hypothesis,30_8_NABS_FOS
155030161,Mass communication,30_8_NABS_FOS
155785087,Natural law,30_8_NABS_FOS
155868670,Root system,30_8_NABS_FOS
156005406,Subsistence agriculture,30_8_NABS_FOS
156571341,Cyberpsychology,30_8_NABS_FOS
156663261,Agroecology,30_8_NABS_FOS
157140304,Agrarian society,30_8_NABS_FOS
157670687,Postharvest,30_8_NABS_FOS
159505674,Broadcasting of sports events,30_8_NABS_FOS
159719176,Engineering geology,30_8_NABS_FOS
159750122,Soil water,30_8_NABS_FOS
