fos_id,fos_name
2778553611,1seg
2779081413,AM stereo
132215390,Abiotic component
102044607,Adit
2779867292,African Plate
2776585538,Agenda-setting theory
157140304,Agrarian society
1670747,Agribusiness
2992730755,Agricultural development
507981020,Agricultural education
2778402112,Agricultural extension
502990516,Agricultural land
47136581,Agricultural machinery
2778852317,Agricultural policy
128383755,Agricultural productivity
118518473,Agriculture
207581243,Agrochemical
156663261,Agroecology
57664001,Agroecosystem
6557445,Agronomy
2984648278,Ambient awareness
2991862235,Animal health
61968832,Animal husbandry
523966790,Animal welfare
130979935,Ansatz
2776908094,Anthelmintic
2775976403,Aphid
2993426613,Arabic sentiment analysis
71762439,Arable land
150772632,Arid
2780563676,Aroma
943373,Atomic broadcast
58348228,Auteur theory
183384803,Automatic dependent surveillance-broadcast
2780727426,Awassi
2777146433,Badger
2780356177,Baltic Shield
2780356177,Baltic Shield
45292766,Bark
2778471503,Basin and Range Province
2780505807,Beef cattle
194105502,Biblical studies
2778052875,Bildung
192039558,Biofertilizer
2776797426,Biogeosciences
104727253,Biological pest control
2779371384,Biomass
2781368420,Biosecurity
2910651670,Bird Diseases
46580973,Blackdamp
56859440,Bouguer anomaly
2781121916,Bow drill
2776521926,Brahman
2776892586,Brand engagement
2776747608,Brassica
2776482104,Breed
2779742664,Broadcast address
2777514068,Broadcast band
2989465874,Broadcast channels
83529365,Broadcast communication network
2987348774,Broadcast data
2011517,Broadcast journalism
2011517,Broadcast journalism
2991660179,Broadcast packet
2780698354,Broadcast quality
2776313748,Broadcast range
2987005673,Broadcast scheduling
2994104004,Broadcast service
2994381574,Broadcast system
91285054,Broadcast television systems
2992481583,Broadcast time
2993676337,Broadcast transmission
196227537,Broadcast transmitter
81959379,Broadcasting
110157686,Broadcasting (networking)
2987043902,Broadcasting algorithms
159505674,Broadcasting of sports events
2985624630,Broadcasting system
53007507,Browning
2779867394,Bubalus
75699723,Buddhism
2777582232,CONTEST
2779557943,Canis
101000010,Canopy
2991667299,Capra hircus
2778226015,Capreolus
140441402,Carbonatite
129225989,Cash crop
164105321,Catalan
2908982167,Cattle Diseases
2780323295,Cervus
32772713,Charisma
2993273313,Chemical control
2776373379,Chlorophyll
521751864,Christian ministry
551968917,Christianity
10869588,Church history
2988529969,Cold storage
119452085,Commercial broadcasting
2775898560,Common Agricultural Policy
2991920864,Community radio
3017754109,Companion animal
2780739461,Compost
2780739461,Compost
2778749970,Conditional access
43143990,Conidium
10180917,Conscience
2992647939,Consumer engagement
178408851,Content marketing
141646446,Continental crust
201867031,Continental margin
2993054622,Core formation
127723449,Core–mantle boundary
2777222942,Corriedale
164663123,Cosmos
185476388,Cotyledon
2776911728,Courage
2778856526,Cow-calf
3019217387,Crime news
2985692548,Crisis informatics
2987800000,Crisis mapping
83559648,Croatian
137580998,Crop
137580998,Crop
2989409935,Crop production
183889291,Crop residue
175760724,Crop rotation
13558536,Cropping
173419221,Crossbreed
2776698055,Crust
3017803470,Crust formation
2778877831,Cryptosporidium
52991690,Culling
197321923,Cultivar
197321923,Cultivar
2776915394,Customer engagement
26144545,Cut and fill
156571341,Cyberpsychology
2781191505,DAB ensemble
2910477778,DUMP formation
2777695277,DVB-H
2776977481,Dairy cattle
2778691696,Dairy farming
139496715,Deforestation
161487207,Derecho
2779021329,Destiny
173853756,Dialog box
199007388,Diapir
22029948,Dice
2779106878,Digital audio broadcasting
41062264,Digital broadcasting
2780997048,Digital footprint
2780079832,Digital multimedia broadcasting
520681616,Digital television
2781079927,Dimension stone
2776211767,Doctrine
3017937595,Dog owners
2778134537,Domestic pig
103797069,Domestic sheep reproduction
46517748,Drift mining
189797535,Drought tolerance
2780138947,Dry matter
150668497,Dry weight
150668497,Dry weight
2779103253,Duty
3018078696,Dwarf goats
2987034934,Earth crust
2777976947,Eimeria
2779883265,Electronic program guide
2987376390,Electronic word of mouth
159719176,Engineering geology
2781354396,Enthusiasm
51832835,Environmental management system
2776932993,Ethos
2778261408,Eurasian Plate
2779461089,FM broadcasting
2778692574,Faith
113522999,Fall of man
2776184289,Farallon Plate
2780117336,Farm income
3018846106,Fear of missing out
2779329348,Feedlot
2776763651,Ferropericlase
75639521,Field experiment
75639521,Field experiment
129454956,Field research
2777835648,Filter bubble
2780719635,Flavor
2777786777,Flea
2776327621,Flesh
134215735,Flock
74256435,Flood myth
97490223,Focal mechanism
513193947,Fodder
2909619495,Food animal
549605437,Food security
2779370140,Forage
102523778,Form of the Good
11872896,Fractional crystallization (geology)
2779678110,Fungus
2779742380,Gabion
2909031412,Gallus gallus domesticus
7028197,Gangue
2776684731,Garcia
136752280,Geodynamics
2992974802,Geological exploration
2994289516,Geological investigation
114793014,Geomorphology
93011207,Geotechnical investigation
100701293,Germination
2777461220,Germplasm
27362006,Gestalt psychology
154802760,Giant impact hypothesis
83740816,Gibberellin
2909771501,Goat Diseases
2776760134,Gold mining
2777425756,Gold panning
2993492720,Gold production
2781384534,Gospel
2780710533,Governo
166839181,Graben
2992211155,Grain yield
2775835988,Grassland
2777904157,Grazing
112939947,Green Revolution
32198211,Greenhouse
32198211,Greenhouse
186096623,Ground pressure
2778375701,Ground stone
137660486,Growing season
2909895380,Guinea fowl
37523158,Hadean
37523158,Hadean
2779944825,Headlinese
2910697619,Hearing analyzer
2776727279,Heaven
91304198,Hebrew
202050865,Hectare
32506930,Hegelianism
2779824472,Herb
194775826,Herd
50379869,Hermeneutics
46610780,Hinduism
2779111255,History of journalism
128536511,History of religions
2776960312,Hock
2779438500,Honor
144027150,Horticulture
88972607,Human fertilization
2994537864,Human medicine
2780422510,Humanity
2779795913,Hurrying
75296557,Husk
48189365,Hybrid
2780043312,Hydraulic fill
2779096232,Hydraulic fracturing
127200247,Hydraulic mining
33556824,Hydrogeology
92047909,Hyperbolic function
2778985329,ISDB
83948199,Incompatible element
2776451879,Infestation
178165689,Inflorescence
2777612826,Insect
123963621,Integrated pest management
37923429,Intensive farming
2779056648,International broadcasting
2992407798,Iron mining
88862950,Irrigation
88862950,Irrigation
112077630,Irrigation management
4445939,Islam
2777499811,Ivermectin
2780460740,Jackal
2778182169,Jako
150152722,Judaism
183282558,Kimberlite
2911060314,Laboratory Animal Science
2910990604,Lama glama
2993003885,Land area
113052830,Land degradation
559400886,Land management
2992547679,Land mine
2777178263,Land reform
137607661,Land tenure
122690726,"Land use, land-use change and forestry"
8824402,Landslides vs. Rock strength
2776973623,Legal deposit
2776632002,Legume
2776632002,Legume
2777776507,Lexico
2779113645,Like button
92596616,Lineament
159789966,Lingua franca
16942324,Lithosphere
2779429622,Litter
3987366,Livelihood
58625266,Lode
2910164855,Logging car
39511330,Logo
2777199308,Louse
61783943,Luck
543192267,Magic (paranormal)
2779980370,Magma ocean
2779980370,Magma ocean
2777617010,Mainstream
2777151259,Mallophaga
2780968714,Mange
2778896172,Manifesto
67236022,Mantle (geology)
38304854,Manure
2780414537,Maple
2777481183,Market access
155030161,Mass communication
558299567,Mass media
48185193,Media
2781343547,Media Practice Model
55322685,Media conglomerate
55322685,Media conglomerate
167275870,Media system dependency theory
168568655,Medical entomology
2778839144,Medical geology
2908605944,Meleagris gallopavo
2775858120,Memoria
182744844,Metaphysics
167919410,Metasomatism
2992637229,Michel foucault
51151373,Mid-ocean ridge
143128703,Middle Ages
2779885849,Milking
2993102984,Mine planning
2911132530,Mine surveyor
2993134977,Mineral deposit
2910921642,Mineral industries
21441200,Mineral physics
2992067306,Mineral potential
93746451,Mineral redox buffer
16674752,Mining engineering
66511971,Mining geology
2984157484,Mining industry
2778524612,Mining law
2778143190,Minnesota Geological Survey
2985711970,Mobile broadcast
2992202738,Mobile broadcasting
2779213998,Mobile television
113658590,Muck
77757571,Multimedia Broadcast Multicast Service
2987586235,Multimedia broadcasting
2776474821,Mushroom
133479454,Mycelium
169081014,Mysticism
2775997990,Narrowcasting
155785087,Natural law
183135511,Natural resource management
2986444337,Near video on demand
16670881,Neotectonics
16189245,News bureau
2780756850,News design
529147693,News media
2988338654,News sharing
167752473,News values
167752473,News values
2910534252,Newsclipping
201280247,Newspaper
2776757517,Newspaper digitization
2910250570,Newspapers as Topic
2779914258,Nili-Ravi
2777992645,North American Plate
2778738651,Novelty
142796444,Nutrient
105462344,Nutrient management
534701709,Old Testament
2993240939,Online activism
2988996608,Online engagement
2988327197,Online harassment
16759151,Online presence management
184977646,Open-pit mining
530479602,Opera
23923706,Ophiolite
23923706,Ophiolite
118817206,Organic farming
48743137,Organic matter
46328234,Organoleptic
74103781,Ornamental plant
2778802261,Orthodoxy
2777201227,Overburden
2777963300,Ovis
22508944,PEST analysis
2777994876,Pacific Plate
85582077,Paddy field
179158327,Palaeogeography
2776629827,Panasqueira
2780580889,Panorama
79572550,Partial melting
2780310893,Passion
2776347870,Passions
17616946,Pastoralism
2778053677,Pasture
2779220025,Peasant
53657456,Peat
2779546711,Penny press
2776242653,Pepper
24461792,Perennial plant
2437467,Perfection
84372278,Peridotite
2776527531,Persian
2993555337,Personal branding
2989393167,Personal learning network
9992130,Pessimism
540442320,Pest control
540442320,Pest control
161176658,Pesticide
44938399,Petrogenesis
44938399,Petrogenesis
2776286235,Phaseolus
2777474537,Pheasant
51417038,Phenology
35496372,Phloem
2778882853,Phlogopite
510538283,Phosphorus
2994460426,Pig farms
2781390083,Pinctada fucata
140230471,Planetary core
2993199473,Plant biochemistry
141282968,Plant ecology
2982966219,Plant growth
2982966219,Plant growth
161221295,Plant physiology
152972079,Plate reconstruction
119477230,Plate tectonics
46757340,Poaceae
137776501,Point of delivery
2780618852,Pollen
168197293,Pollination
157670687,Postharvest
66914385,Poultry farming
2777122596,Praxis
2777477151,Prayer
120217122,Precision agriculture
2779728303,Pride
2776305542,Problema
175181221,Prospecting
111021475,Protestantism
108010975,Pruning
73440236,Psyche
556509198,Public broadcasting
512654426,Public domain
68163228,Radio Data System
58911810,Radio broadcasting
2994466296,Radio program
180903884,Rationalism
42211076,Reliable Sources
2776405206,Revelation
50682988,Rift
172353545,Ripening
2993252152,Rock body
179974421,Rock bolt
41242791,Rock mass classification
97842125,Rock mechanics
2991922516,Rock pressure
2993323123,Rock slope
2993437602,Rock structure
2779552062,Roe deer
2910514300,Root stones
155868670,Root system
2778002360,Rump
2988676352,Rural development
2778452349,Rural poverty
2780415144,SAINT
2776134716,Sacrifice
2992981300,Salt deposit
2993527706,Salt mine
2992306869,Satellite television
2776050585,Scrutiny
9299846,Secularization
36248471,Seeding
2776096895,Seedling
23148476,Seismic anisotropy
122959257,Seismic tomography
2993808335,Seismic velocity
17235551,Self
2909642594,Shaft (site)
207469975,Shaft mining
22512106,Shear wave splitting
23295444,Shear zone
115930662,Shelf life
141005173,Shifting cultivation
21410773,Shoot
21410773,Shoot
186857363,Siege
160804572,Silicate perovskite
2776847985,Single-frequency network
2780284631,Sire
18296254,Skepticism
2780441040,Slacktivism
3020113513,Small ruminant
2780564743,Social CRM
196690852,Social analytics
2987325470,Social commerce
74216064,Social computing
2993865493,Social data analytics
2988833398,Social event detection
518677369,Social media
2778729106,Social media analytics
2985889538,Social media marketing
2777370179,Social media measurement
2780695499,Social media mining
2991870026,Social media network
60136833,Social media optimization
2984029112,Social mining
2988622424,Social multimedia
2993172631,Social news
2986426982,Social stream
2778871292,Social television
503923677,Social web
109162521,Soil conservation
2779422593,Soil crust
85675897,Soil management
2776475172,Soil quality
159750122,Soil water
2778761015,Solanaceae
2992990004,Solid rock
2778157034,Sorghum
2778157034,Sorghum
2780822299,Soul
2781207809,South American Plate
2780556036,South Pole–Aitken basin
168741863,Sowing
168741863,Sowing
2988547615,Speech summarization
2780054949,Spinach
193605714,Steam shovel
2780942940,Stishovite
2909086881,Stone quarry
94236395,Stoping
109281948,Stratigraphy
2779587293,Straw
2779070535,Street gutter
7251660,Structural geology
549698073,Structure of the Earth
2778136425,Struthio
2781287369,Stuttgart
58097730,Subduction
156005406,Subsistence agriculture
2777108408,Sugar
2779197568,Sunflower
2911210907,Support pressure
64476972,Sustainable Agriculture Innovation Network
54924851,Sustainable agriculture
128361363,Symbol
2777452754,TV-Anytime
5166401,Tailings
8868529,Taste
77928131,Tectonics
128954607,Tectonophysics
2780818791,Teletext
2994534981,Television channel
2779438827,Television station
81461190,Temperate climate
150999391,Terrane
152212766,The Republic
27206212,Theology
110041135,Thrust fault
180362636,Thrust tectonics
2779620486,Tick
16397148,Tillage
2777438998,Tribunal
50660011,Tropics
9819579,Tuner
2987442367,Tv viewer
2777480983,USArray
195081551,Ultramafic rock
76960060,Umwelt
2994012208,Upper crust
2994012208,Upper crust
2992330363,Urban geology
101293273,User-generated content
2778838397,Uses and gratifications theory
2775944640,Utopia
2781179785,Valencia
42972112,Veterinary medicine
2780487972,Veterinary parasitology
2777225262,Veterinary pathology
2982719622,Video broadcast
2777257828,Virtual archaeology
2777239683,Virtue
133979268,Vision
2779829227,Vitality
6363049,Volcanism
2776082042,Vulpes
2909623323,Waste Dumps
2992406196,Waste dump
2993139054,Water buffalo
2775891814,Weed
2779880937,Whinstone
2778983918,Wife
2776222705,Wild boar
2984608069,Wireless broadcast
2986347997,Wireless broadcasting
2777114023,Withers
128758860,Woody plant
2777222677,Worship
42796848,Xenolith
49799701,Xylem
2993531722,Zea mays
2776247511,Zebu
2778412320,iPhoneography
55969652,photoperiodism
